name,institucion,provincia,pais
"Eberhardt, Ayelen","Laboratorio de Ecología de Enfermedades, Instituto de Ciencias Veterinarias del Litoral (ICiVet-Litoral), Universidad Nacional del Litoral (UNL) y CONICET, Esperanza","Santa Fe",Argentina
"Eder, Elena B.","Centro para el Estudio de los Sistemas Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Els, Vermeulen","Mammal Research Institute Whale Unit, University of Pretoria, Cape Town",,Sudáfrica
"Ercoli, Marcos D.","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET, S.S. de Jujuy",Jujuy,Argentina
"Escobar, Julio Martín","Laboratorio de Ecología Terrestre, Centro Austral de Investigaciones Científicas y Técnicas (CADIC-CONICET), Ushuaia","Tierra del Fuego",Argentina
"Faiella, Adrián","Centro de Rehabilitación de Fauna, Aquarium Mar del Plata","Buenos Aires",Argentina
"Failla, Mauricio","Fundación Cethus, Vicente López","Buenos Aires",Argentina
"Fantozzi, María Cecilia","Laboratorio de Ecología de Enfermedades, Instituto de Ciencias Veterinarias del Litoral (ICiVet-Litoral), Universidad Nacional del Litoral (UNL) y CONICET, Esperanza","Santa Fe",Argentina
"Farías, Ariel","Departamento de Ecologia y Gestión Ambiental, Centro Universitario del Este (CURE), Universidad de la República, Maldonado",,Uruguay
"Fariñas Torres, Thamara","Centro Regional de Investigaciones Científicas y Transferencia Tecnológica de La Rioja (CRILAR), Universidad Nacional de La Rioja - CONICET, Anillaco","La Rioja",Argentina
"Fasola, Laura","Dirección Regional Patagonia Norte, Administración de Parques Nacionales, Bariloche","Río Negro",Argentina
"Fernández, Gabriela Paula","Centro de Bioinvestigaciones, Centro de Investigaciones y Transferencia del Noroeste de la Provincia de Buenos Aires (CIT-NOBA), UNNOBA-CONICET, Pergamino","Buenos Aires",Argentina
"Fernández, Santiago","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Fernández-Duque, Eduardo","Proyecto Mirikiná, Yale University y CONICET",,"Estados Unidos"
"Ferrari, Mariano","CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Ferraro, Franco","Reserva El Potrero, Gualeguaychú","Entre Rios",Argentina
"Ferreiro, Alejandro M.","Laboratorio de Genética de Poblaciones, Instituto de Diversidad y Ecología Animal (IDEA), CONICET-Universidad Nacional de Córdoba",Córdoba,Argentina
"Ferreyra, Nicolás","Parque Nacional Lanín, Administración de Parques Nacionales, San Martín de los Andes",Neuquén,Argentina
"Ferro, L. Ignacio","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET, S.S. de Jujuy",Jujuy,Argentina
"Flavio Rodrigues","Universidade Federal de Minas Gerais, Brasil",,Brasil
"Flores, Celina","Centro Austral de Investigaciones Científicas y Técnicas (CADIC-CONICET), Ushuaia","Tierra del Fuego",Argentina
"Flores, David","Instituto de Vertebrados, Unidad Ejecutora Lillo (CONICET- Fundación Miguel Lillo), S.M. de Tucumán",Tucumán,Argentina
"Formoso, Anahí E.","Centro para el Estudio de los Sistemas Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Fracassi, Natalia","EEA-Delta del Paraná, Instituto Nacional de Tecnología Agropecuaria (INTA), Campana","Buenos Aires",Argentina
"Fraschina, Jimena","Lab. de Roedores Urbanos, Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Universidad de Buenos Aires - CONICET",CABA,Argentina
"Funes, Martín","Wildlife Conservation Society - Argentina, Junín de los Andes",Neuquén,Argentina
"Funk, Adelmar","ONG Eco de América, Rivadavia","Buenos Aires",Argentina
"Gallo, Emilce","Parque Nacional Tierra del Fuego, Administración de Parques Nacionales, Ushuaia","Tierra del Fuego",Argentina
"Gallo, Jorge A.","Delegación Regional Patagonia Sur, Administración de Parques Nacionales-CONICET, Ushuaia","Tierra del Fuego",Argentina
"Gamboa Alurralde, Santiago","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET y Programa de Conservación de los Murciélagos de Argentina (PCMA)",Tucumán,Argentina
"Gandini, Marcelo","Facultad de Agronomía, Universidad Nacional del Centro de la Provincia de Buenos Aires - CICPBA, Azul","Buenos Aires",Argentina
"Gantchof, Mariela","Environmental Science and Forestry, State University of New York",,"Estados Unidos"
"García de la Chica, Alba","Proyecto Mirikina y Universidad de Barcelona",,España
"García, Néstor A.","Laboratorio de Mamíferos Marinos, Centro para el Estudio de Sistemas Marinos, Centro Nacional Patagónico (CESIMAR - CENPAT – CONICET)",Chubut,Argentina
"Gariboldi, María Constanza","Centro de Estudios Biomédicos, Biotecnológicos, Ambientales y Diagnóstico (CEBBAD), Universidad Mamimónides",CABA,Argentina
"Gáspero, Pablo","EEA-Bariloche, Instituto Nacional de Tecnología Agropecuaria (INTA)","Río Negro",Argentina
"Gatica, Ailin","Instituto Multidisciplinario de Investigaciones Biológicas de San Luis (IMIBIO), CONICET-CCT San Luis","San Luis",Argentina
"Gelin, María Laura","Departament of Wildlife Ecology and Conservation y School of Natural Resources and Environment, University of Florida",,"Estados Unidos"
"Giannoni, Stella Maris","INTERBIODES (Interacciones Biológicas en el Desierto), CIGEOBIO (CONICET-UNSJ), y Departamento de Biología, FCEFyN, Universidad Nacional de San Juan","San Juan",Argentina
"Giardino, Gisela","Instituto de Investigaciones Marinas y Costeras (IIMyC), Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Mar del Plata-CONICET","Buenos Aires",Argentina
"Gil, Guillermo E.","Centro de Investigaciones Ecológicas Subtropicales (CIES), Delegación Regional NEA, Administración de Parques Nacionales, Puerto Iguazú",Misiones,Argentina
"Giménez, Analía L.","Laboratorio de Investigacione en Evolución y Biodiversidad (LIEB), Facultad de Ciencias Naturales y Ciencias de la Salud, Universidad Nacional de la Patagonia San Juan Bosco, Esquel",Chubut,Argentina
"Giménez, Sergio R.","Parque Nacional Nahuel Huapi, Administración de Parques Nacionales, Bariloche","Río Negro",Argentina
