name,institucion,provincia,pais
"Roulier, Catherine","Centro Austral de Investigaciones Científicas y Técnicas (CADIC-CONICET) e Instituto de Cultura, Sociedad y Estado (ICSE), Universidad Nacional de Tierra del Fuego (UNTDF), Ushuaia","Tierra del Fuego",Argentina
"Sánchez Dómina, Rosarito","Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Cuyo, Mendoza",Mendoza,Argentina
"Sánchez, Juliana","Centro de Bioinvestigaciones, Centro de Investigaciones y Transferencia del Noroeste de la Provincia de Buenos Aires (CIT-NOBA), UNNOBA-CONICET, Pergamino","Buenos Aires",Argentina
"Sánchez, Julieta","Laboratorio de Ecología Molecular, CADIC-CONICET, Ushuaia","Tierra del Fuego",Argentina
"Sánchez, Mariano S.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Laboratorio de Genética Evolutiva, Facultad de Ciencias Exactas, Químicas y Naturales, Universidad Nacional de Misiones (UNaM), Posadas",Misiones,Argentina
"Sánchez, R. Tatiana","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET y Programa de Conservación de los Murciélagos de Argentina (PCMA)",Tucumán,Argentina
"Sánchez, Tatiana R.","Programa de Investigación de Biodiversidad Argentina (PIDBA), Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucumán - CONICET",Tucumán,Argentina
"Sandoval, María Leonor","Instituto de Investigación en Luz, Ambiente y Vision (ILAV), Programa de Investigaciones en Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET",Tucumán,Argentina
"Sanguinetti, Javier","Departamento de Conservación y Manejo, Parque Nacional Lanín, Administración de Parques Nacionales, San Martín de los Andes",Neuquén,Argentina
"Santillan, Juan","Reserva Nacional Formosa - APN",Formosa,Argentina
"Santillán, Juan Gabriel","Reserva Natural Formosa, Administración de Parques Nacionales, Ing. Juárez",Formosa,Argentina
"Sassi, Paola","IADIZA-CONICET y FCA-UNCuyo, Mendoza",Mendoza,Argentina
"Schiaffini, Mauro I.","Laboratorio de Investigaciones en Evolución y Biodiversidad (LIEB), Centro de Investigación Esquel de Montaña y Estepa Patagónica (CIEMEP), Universidad Nacional de la Patagonia San Juan Bosco - CONICET, Esquel",Chubut,Argentina
"Schiavini, Adrián C. M.","Ecología y Conservación de Vida Silvestre, CADIC-CONICET, Ushuaia","Tierra del Fuego",Argentina
"Schneider, Cristian F.","Asociación para la Conservación y Estudio de la Naturaleza (ACEN)",Córdoba,Argentina
"Schroeder, Natalia","Instituto Argentino de Investigaciones de las Zonas Áridas (IADIZA), CCT Mendoza - CONICET",Mendoza,Argentina
"Scorolli, Alberto","GEKKO (Grupo Estudios en Conservación y Manejo), Dto de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur, Bahía Blanca","Buenos Aires",Argentina
"Segovia, José Manuel","Secretaría de Biodiversidad, Ministerio de Ambiente de la Provincia de Jujuy, S.S. de Jujuy",Jujuy,Argentina
"Segura, Valentina","Unidad Ejecutora Lillo (UEL), Fundacion Miguel Lillo-CONICET, S. M. de Tucumán",Tucumán,Argentina
"Siroski, Pablo","Ministerio de Medio Ambiente, Gobierno de la Provincia de Santa Fe","Santa Fe",Argentina
"Sobral Zotta, Nazareno","Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Uiversidad de Buenos Aires - CONICET",CABA,Argentina
"Sobrero, Raúl","Laboratorio de Ecología de Enfermedades, Instituto de Ciencias Veterinarias del Litoral (ICiVet-Litoral), Universidad Nacional del Litoral (UNL) y CONICET, Esperanza","Santa Fe",Argentina
"Soibelzon, Esteban","División Paleontología Vertebrados, Universidad Nacional La Plata - CONICET","Buenos Aires",Argentina
"Soler, Lucía","Departamento de Biolgía, Bioquímica y Farmacia, Universidad Nacional del Sur, Bahía Blanca","Buenos Aires",Argentina
"Suárez, Olga Virginia","Lab. de Roedores Urbanos, Instituto de Ecología, Genética y Evolución de Buenos Aires (IEGEBA), Universidad de Buenos Aires - CONICET",CABA,Argentina
"Sueyro, Nicolás","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Superina, Mariella","Instituto de Medicina y Biología Experimental de Cuyo (IMBECU), CONICET, Mendoza",Mendoza,Argentina
"Svendsen, Guillermo","Grupo de Investigación en Mamíferos Marinos del Golfo San Matías, Centro de Investigación Aplicada y Transferencia Tecnológica en Recursos Marinos Almirante Storni (CIMAS-CONICET)","Río Negro",Argentina
"Talak (Mendoza), Najuaj (José)","Reserva Nacional Formosa - APN",Formosa,Argentina
"Tallei, Ever Denis","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET, S.S. de Jujuy",Jujuy,Argentina
"Tamara, Ricardo","Departamento de Ciencias Naturales, Facultad de Humanidades y Ciencias, Universidad Nacional del Litoral, Santa Fe","Santa Fe",Argentina
"Tamburini, Daniela M.","Centro de Ecología y Recursos Naturales Renovables (CERNAR), IIBYT, Universidad Nacional de Córdoba - CONICET",Córdoba,Argentina
"Tammone, Agostina","Centro de Investigación Veterinaria de Tandil (CIVETAN), Facultad de Ciencias Veterinarias, UNICEN, Tandil","Buenos Aires",Argentina
"Tammone, Mauro N.","CENAC-APN, Parque Nacional Nahuel Huapi-CONICET, Bariloche","Río Negro",Argentina
"Taraborelli, Paula","EEA-Barrow, Instituto Nacional de Tecnología Agropecuaria (INTA) Centro Regional Buenos Aires Sur, Tres Arroyos","Buenos Aires",Argentina
"Tarquino-Carbonell, Andrea del Pilar","Grupo de Investigaciones de la Biodiversidad (GiB), Instituto Argentino de Investigaciones de Zonas Aridas (IADIZA), CCT CONICET Mendoza",Mendoza,Argentina
"Tejedor, Marcelo","Instituto Patagónico de Geología y Paleontología, CENPAT-CONICET, Puerto Madryn",Chubut,Argentina
"Tellaeche, Cintia G.","Instituto de Ecorregiones Andinas (INECOA) y Centro de Estudios Territoriales Ambientales y Sociales (CETAS), Facultad de Ciencias Agrarias, Universidad Nacional de Jujuy - CONICET",Jujuy,Argentina
"Tellarini, Juan Francisco","Grupo de Genética y Ecología en Conservación y Biodiversidad (GECOBI), Museo Argentino de Ciencias Naturales Bernardino Rivadavia-CONICET",CABA,Argentina
"Terán, Andrés",Rosario,"Santa Fe",Argentina
"Tessaro, Florencia","Área Flora y Fauna, Ministerio de Medio Ambiente, Campo y Producción de la Provincia de San Luis","San Luis",Argentina
"Teta, Pablo","División Mastozoología, Museo Argentino de Ciencias Naturales Bernardino Rivadavia (MACN-CONICET)",CABA,Argentina
"Tomasco, Ivanna H.","Departamento de Ecología y Evolución, Facultad de Ciencias, Universidad de la República, Montevideo",,Uruguay
"Torres, Julio","Instituto de Diversidad y Evolución Austral (IDEAus), CCT CONICET-CENPAT, Puerto Madryn",Chubut,Argentina
"Torres, Ricardo M.","Instituto de Diversidad y Ecología Animal (IDEA), CONICET-Universidad Nacional de Córdoba",Córdoba,Argentina
"Torresín, Jerónimo","Fundación Temaikén, Posadas",Misiones,Argentina
"Trimarchi, Laura I.","Instituto de Diversidad y Ecología Animal (IDEA), CONICET-Universidad Nacional de Córdoba",Córdoba,Argentina
"Trucco, Carlos","Parque Nacional Río Pilcomayo, Administración de Parques Nacionales",Formosa,Argentina
"Tujague, María Paula","Facultad de Ciencias Forestales (UNaM), Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Túnez, Juan Ignacio","Grupo de Investigación en Ecología Molecular (GIEM), Instituto de Ecología y Desarrollo Sustentable (INEDES-CONICET-UNLu), Luján","Buenos Aires",Argentina
"Udrizar Sauthier, Daniel E.","Grupo de Estudio de Mamíferos Terrestres (GEMTE), Instituto Patagónico para el Estudio de los Ecosistemas Continentales (IPEEC-CONICET), Puerto Madryn y Facultad de Ciencias Naturales, UNPSJB",Chubut,Argentina
"Uhart, Marcela","Karen C. Drayer Wildlife Health Center’s Latin America Program, Universidad de California, Davis",,"Estados Unidos"
"Urquizo, José Humberto","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET y Programa de Conservación de los Murciélagos de Argentina (PCMA), S.S. de Jujuy",Jujuy,Argentina
"Vadell, María Victoria","Instituto de Ecología Genética y Evolución, Universidad de Buenos Aires-CONICET e Instituto Nacional de Medicina Tropical (INMeT), Ministerio de Salud de la Nación, Puerto Iguazú",CABA,Argentina
"Valenzuela, Alejandro E. J.","Instituto de Ciencias Polares, Ambiente y Recursos Naturales (ICPA), Universidad Nacional de Tierra del Fuego-CONICET, Ushuaia","Tierra del Fuego",Argentina
"Vales, Damián G.","Laboratorio de Mamíferos Marinos, CESIMAR-CONICET, Puerto Madryn",Chubut,Argentina
"Valese, N.","Fundación Cethus",,Argentina
"Valqui, Juan","Laboratorio de Biología Marina, Departamento de Ciencias Biológicas y Fisiológicas, Universiad Peruana Cayetano Heredia y IUCN/SSC/Otter Specialist Group",,Perú
"Vanderhoeven, Ezequiel","Instituto de Medicina Tropical (INMET) y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Vaquero, Daniel","Dpto. de Biología y Ambiente, Facultad de Ciencias Naturales y Ciencias de la Salud, Universidad Nacional de la Patagonia San Juan Bosco",Chubut,Argentina
"Varela, Diego","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Varela, Esperanza A.","Laboratorio de Sistemática, Anatomía y Bioecología de Mamíferos Marinos, División Mastozoología, Museo Argentino de Ciencias Naturales Bernardino Rivadavia-CONICET",CABA,Argentina
"Vespa, Natalia I.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones, Facultad de Ciencias Forestales (FACFOR-UNaM) y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Vilá, Bibiana","VICAM y Departamento de Ciencias Sociales, Universidad Nacional de Luján - CONICET, Luján","Buenos Aires",Argentina
"Vilardo, Gimena","Dpto. de Biología y Ambiente, Facultad de Ciencias Naturales y Ciencias de la Salud, Universidad Nacional de la Patagonia San Juan Bosco.",Chubut,Argentina
"Villalba, Sabrina","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET, Programa de Conservación de los Murciélagos de Argentina (PCMA) y ACEN (Asociación para la Conservación y el Estudio de la Naturaleza)",Tucumán,Argentina
"Walker, R. Susan","Consultora independiente, Junín de los Andes",Neuquén,Argentina
"Winter, Marina","Centro de Investigaciones y Transferencia de Río Negro, Universidad Nacional de Rio Negro - CONICET, Viedma","Río Negro",Argentina
"Zalazar, Sofía","Laboratorio de Biología de la Conservación, Centro de Ecología Aplicada del Litoral (CECOAL) - CONICET",Corrientes,Argentina
"Zamboni, Talia","The Conservation Land Trust Argentina (CLT), Mercedes",Corrientes,Argentina
"Zapata, Sonia C.","Centro de Investigaciones Puerto Deseado, Instituto de Ciencias Ambientales, Sustentabilidad y Recursos Naturales (ICASUR), Universidad Nacional de la Patagonia Austral, Puerto Deseado","Santa Cruz",Argentina
"Zuleta, Gustavo A.","Departamento de Ecología y Ciencias Ambientales (DECA),  Universidad Maimónides (UMAI)",CABA,Argentina
"Zunino, Gabriel","Instituto del Conurbano, Universidad Nacional de General Sarmiento","Buenos Aires",Argentina
"Zurita, Gustavo A.","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
